,origin,dest,air_time,distance,origin_lat,origin_long,dest_lat,dest_long
0,LGA,IAH,227.0,1416,40.777,-73.872,29.98,-95.34
1,LGA,ATL,116.0,762,40.777,-73.872,33.64,-84.427
2,LGA,IAD,53.0,229,40.777,-73.872,38.944,-77.456
3,LGA,ORD,138.0,733,40.777,-73.872,41.979,-87.904
4,LGA,DFW,257.0,1389,40.777,-73.872,32.896,-97.037
5,LGA,FLL,152.0,1076,40.777,-73.872,26.072,-80.153
6,LGA,MSP,170.0,1020,40.777,-73.872,44.88,-93.217
7,LGA,DTW,105.0,502,40.777,-73.872,42.212,-83.353
8,LGA,MIA,153.0,1096,40.777,-73.872,25.793,-80.291
9,LGA,BWI,40.0,185,40.777,-73.872,39.175,-76.668
10,LGA,MCO,144.0,950,40.777,-73.872,28.429,-81.316
11,LGA,DEN,243.0,1620,40.777,-73.872,39.858,-104.667
12,LGA,PBI,149.0,1035,40.777,-73.872,26.683,-80.096
13,LGA,MKE,134.0,738,40.777,-73.872,42.947,-87.896
14,LGA,RSW,167.0,1080,40.777,-73.872,26.536,-81.755
15,LGA,TPA,158.0,1010,40.777,-73.872,27.975,-82.533
16,LGA,CLT,96.0,544,40.777,-73.872,35.214,-80.943
17,LGA,CMH,101.0,479,40.777,-73.872,39.998,-82.892
18,LGA,CLE,91.0,419,40.777,-73.872,41.412,-81.85
19,LGA,STL,169.0,888,40.777,-73.872,38.748,-90.36
20,LGA,RDU,77.0,431,40.777,-73.872,35.877,-78.787
21,LGA,BNA,142.0,764,40.777,-73.872,36.124,-86.678
22,LGA,PHL,32.0,96,40.777,-73.872,39.872,-75.241
23,LGA,MDW,145.0,725,40.777,-73.872,41.786,-87.752
24,LGA,DCA,50.0,214,40.777,-73.872,38.852,-77.037
25,LGA,MSY,195.0,1183,40.777,-73.872,29.993,-90.258
26,LGA,BOS,38.0,184,40.777,-73.872,42.364,-71.005
27,LGA,MEM,178.0,963,40.777,-73.872,35.042,-89.977
28,LGA,BUF,60.0,292,40.777,-73.872,42.94,-78.732
29,LGA,PIT,69.0,335,40.777,-73.872,40.491,-80.233
30,LGA,MCI,189.0,1107,40.777,-73.872,39.297,-94.714
31,LGA,CVG,117.0,585,40.777,-73.872,39.046,-84.662
32,LGA,GRR,,618,40.777,-73.872,42.881,-85.523
33,LGA,RIC,58.0,292,40.777,-73.872,37.505,-77.319
34,LGA,ROC,47.0,254,40.777,-73.872,43.119,-77.672
35,LGA,TYS,121.0,647,40.777,-73.872,35.812,-83.993
36,LGA,BHM,143.0,866,40.777,-73.872,33.563,-86.753
37,LGA,PWM,46.0,269,40.777,-73.872,43.646,-70.309
38,LGA,EYW,178.0,1207,40.777,-73.872,24.556,-81.759
39,LGA,HOU,180.0,1428,40.777,-73.872,29.645,-95.279
40,LGA,JAX,110.0,833,40.777,-73.872,30.494,-81.688
41,LGA,BTV,39.0,258,40.777,-73.872,44.472,-73.153
42,LGA,CHS,84.0,641,40.777,-73.872,32.899,-80.04
43,LGA,SAV,93.0,722,40.777,-73.872,32.127,-81.202
44,LGA,IND,93.0,660,40.777,-73.872,39.717,-86.294
45,LGA,DAY,80.0,549,40.777,-73.872,39.902,-84.219
46,LGA,BGR,57.0,378,40.777,-73.872,44.807,-68.828
47,LGA,MSN,115.0,812,40.777,-73.872,43.14,-89.337
48,LGA,ORF,46.0,296,40.777,-73.872,36.894,-76.201
49,LGA,OMA,153.0,1148,40.777,-73.872,41.302,-95.894
50,LGA,DSM,146.0,1031,40.777,-73.872,41.534,-93.663
51,LGA,ILM,66.0,500,40.777,-73.872,34.271,-77.903
52,LGA,SYR,34.0,198,40.777,-73.872,43.111,-76.106
53,LGA,CAE,97.0,617,40.777,-73.872,33.939,-81.119
54,LGA,MYR,74.0,563,40.777,-73.872,33.68,-78.928
